"iso3";"country_name";"Life.expec";"Life.expec.f";"Life.expec.m";"le.fm";"Inf.Mort.rat";"Agric.employ.%"
"AFG";"Afghanistan";64;65,4;62,8;2,60000000000001;53,2;62,2
"ALB";"Albania";78,5;80,6;76,5;4,09999999999999;12;40,3
"DZA";"Algeria";76,3;77,6;75,1;2,5;21,6;12,8
"AGO";"Angola";61,8;64,7;59;5,7;54,6;50,6
"ARG";"Argentina";76,7;80,4;73;7,40000000000001;9,9;0,5
"ARM";"Armenia";74,8;77,8;71,4;6,39999999999999;11,9;34,4
"AUS";"Australia";83,1;85;81,2;3,8;3,1;2,6
"AUT";"Austria";81,8;84,1;79,4;4,69999999999999;2,9;4,3
"AZE";"Azerbaijan";72,1;75,2;69,1;6,10000000000001;27,2;37,4
"BHS";"Bahamas";75,8;78,8;72,7;6,09999999999999;8,6;4
"BHR";"Bahrain";77;78,1;76,2;1,89999999999999;6,5;1
"BGD";"Bangladesh";72,8;74,6;71,2;3,39999999999999;28,2;39,1
"BRB";"Barbados";76,1;78,4;73,6;4,80000000000001;11,4;2,9
"BLR";"Belarus";73,1;78,5;67,5;11;2,9;9,9
"BEL";"Belgium";81,3;83,6;78,9;4,69999999999999;3,1;1,3
"BLZ";"Belize";70,6;73,6;67,9;5,69999999999999;12,8;15,4
"BEN";"Benin";61,2;62,7;59,6;3,1;63,1;43,2
"BTN";"Bhutan";70,6;70,9;70,3;0,600000000000009;26,8;56,8
"BOL";"Bolivia (Plurinational State of)";69,5;72,1;67;5,09999999999999;29,5;27
"BIH";"Bosnia and Herzegovina";77,1;79,6;74,6;5;5,2;19,1
"BWA";"Botswana";67,6;70,2;64,9;5,3;32,6;26,2
"BRA";"Brazil";75,7;79,3;72,1;7,2;13,5;10,3
"BRN";"Brunei Darussalam";77,4;79,1;75,8;3,3;8,5;0,5
"BGR";"Bulgaria";74,9;78,4;71,5;6,90000000000001;6,5;6,3
"BFA";"Burkina Faso";60,8;61,4;60;1,4;52,7;28,3
"BDI";"Burundi";57,9;59,9;55,9;4;48,4;91,5
"CPV";"Cabo Verde";73;74,9;70,9;4;18,2;67,7
"KHM";"Cambodia";69,3;71,3;67,1;4,2;26,3;26,7
"CMR";"Cameroon";58,6;59,7;57,5;2,2;52,8;62
"CAN";"Canada";82,5;84,4;80,7;3,7;4,3;2
"CAF";"Central African Republic";52,9;54,8;51;3,8;88,5;85,6
"TCD";"Chad";53,2;54,5;52;2,5;75,2;87,2
"CHL";"Chile";79,7;82,1;77,2;4,89999999999999;7,2;9,6
"CHN";"China";76,4;78;74,9;3,09999999999999;8,5;17,5
"COL";"Colombia";74,6;78,2;71;7,2;13,1;16,1
"COM";"Comoros";63,9;65,7;62,2;3,5;55;54,9
"COG";"Congo";65,1;66,7;63,5;3,2;38,5;37,2
"COD";"Congo (Democratic Republic of the)";60;61,5;58,5;3;72;81,9
"CRI";"Costa Rica";80;82,4;77,7;4,7;7,7;12
"CIV";"Côte d'Ivoire";54,1;55,7;52,7;3;66;48,3
"HRV";"Croatia";77,8;81;74,5;6,5;4;7,5
"CUB";"Cuba";79,9;81,9;78;3,90000000000001;4,2;18,6
"CYP";"Cyprus";80,7;82,8;78,5;4,3;2,1;3,5
"CZE";"Czechia";78,9;81,7;76;5,7;2,5;2,9
"DNK";"Denmark";80,9;82,8;79;3,8;3,7;2,6
"DJI";"Djibouti";62,6;64,4;61;3,40000000000001;53,5;29,8
"DOM";"Dominican Republic";74;77,3;71;6,3;25,5;12,4
"ECU";"Ecuador";76,6;79,3;73,9;5,39999999999999;17,8;26,9
"EGY";"Egypt";71,7;74;69,5;4,5;19,4;24,8
"SLV";"El Salvador";73,8;78,1;69,1;9;12,9;18,8
"GNQ";"Equatorial Guinea";57,9;59,4;56,7;2,7;66,2;59,5
"ERI";"Eritrea";65,5;67,7;63,4;4,3;32,9;83,9
"EST";"Estonia";77,7;82;73;9;2,3;3,9
"SWZ";"Eswatini (Kingdom of)";58,3;61,3;54,9;6,4;52,4;69,1
"ETH";"Ethiopia";65,9;67,8;64;3,8;41;68,2
"FJI";"Fiji";70,4;73,6;67,5;6,09999999999999;18,7;39,5
"FIN";"Finland";81,5;84,3;78,7;5,59999999999999;1,9;3,9
"FRA";"France";82,7;85,6;79,8;5,8;3,2;2,9
"GAB";"Gabon";66,5;68,2;64,9;3,3;34,3;41,9
"GMB";"Gambia";61,4;62,8;60,1;2,7;42,2;27,1
"GEO";"Georgia";73,4;77,6;69,2;8,39999999999999;9,5;40,9
